"id","summary","measure","metre","key","phrases","degree","duration","note_name","mint_direction","mint","interval","pitch"
1,"{8g",0,"M3/4","C:",1,"^5","8","g",FALSE,"[g]",NA,67
2,"8g",1,"M3/4","C:",1,"5","8","g",FALSE,"P1",1,67
3,"8e",1,"M3/4","C:",1,"v3","8","e",TRUE,"-m3",3,64
4,"4.a",1,"M3/4","C:",1,"^6","4.","a",FALSE,"+P4",4,69
5,"8g",1,"M3/4","C:",1,"v5","8","g",TRUE,"-M2",2,67
6,"8.g",2,"M3/4","C:",1,"5","8.","g",FALSE,"P1",1,67
7,"16d",2,"M3/4","C:",1,"v2","16","d",TRUE,"-P4",4,62
8,"4.d}",2,"M3/4","C:",1,"2","4.","d",FALSE,"P1",1,62
9,"{8e",2,"M3/4","C:",2,"^3","8","e",FALSE,"+M2",2,64
10,"8f",3,"M3/4","C:",2,"^4","8","f",FALSE,"+m2",2,65
11,"8e",3,"M3/4","C:",2,"v3","8","e",TRUE,"-m2",2,64
12,"4d",3,"M3/4","C:",2,"v2","4","d",TRUE,"-M2",2,62
13,"4a",3,"M3/4","C:",2,"^6","4","a",FALSE,"+P5",5,69
14,"2g",4,"M3/4","C:",2,"v5","2","g",TRUE,"-M2",2,67
15,"8r}",4,"M3/4","C:",2,NA,"8",NA,FALSE,NA,NA,NA
16,"{8g",4,"M3/4","C:",3,"5","8","g",FALSE,"[g]",NA,67
17,"8g",5,"M3/4","C:",3,"5","8","g",FALSE,"P1",1,67
18,"8e",5,"M3/4","C:",3,"v3","8","e",TRUE,"-m3",3,64
19,"4.cc",5,"M3/4","C:",3,"^1","4.","cc",FALSE,"+m6",6,72
20,"8cc",5,"M3/4","C:",3,"1","8","cc",FALSE,"P1",1,72
21,"8.b",6,"M3/4","C:",3,"v7","8.","b",TRUE,"-m2",2,71
22,"16a",6,"M3/4","C:",3,"v6","16","a",TRUE,"-M2",2,69
23,"4.dd}",6,"M3/4","C:",3,"^2","4.","dd",FALSE,"+P4",4,74
24,"{8cc",6,"M3/4","C:",4,"v1","8","cc",TRUE,"-M2",2,72
25,"4.b",7,"M3/4","C:",4,"v7","4.","b",TRUE,"-m2",2,71
26,"8g",7,"M3/4","C:",4,"v5","8","g",TRUE,"-M3",3,67
27,"8.b/",7,"M3/4","C:",4,"^7","8.","b",FALSE,"+M3",3,71
28,"16a",7,"M3/4","C:",4,"v6","16","a",TRUE,"-M2",2,69
29,"2g",8,"M3/4","C:",4,"v5","2","g",TRUE,"-M2",2,67
30,"8r}",8,"M3/4","C:",4,NA,"8",NA,FALSE,NA,NA,NA
31,"{8g",8,"M3/4","C:",5,"5","8","g",FALSE,"[g]",NA,67
32,"8.g",9,"M3/4","C:",5,"5","8.","g",FALSE,"P1",1,67
33,"16cc",9,"M3/4","C:",5,"^1","16","cc",FALSE,"+P4",4,72
34,"(8eeL",9,"M3/4","C:",5,"^3","8","ee",FALSE,"+M3",3,76
35,"8dd",9,"M3/4","C:",5,"v2","8","dd",TRUE,"-M2",2,74
36,"8ccJ",9,"M3/4","C:",5,"v1","8","cc",TRUE,"-M2",2,72
37,"8b)",9,"M3/4","C:",5,"v7","8","b",TRUE,"-m2",2,71
38,"8.b",10,"M3/4","C:",5,"7","8.","b",FALSE,"P1",1,71
39,"16a",10,"M3/4","C:",5,"v6","16","a",TRUE,"-M2",2,69
40,"(8ddL",10,"M3/4","C:",5,"^2","8","dd",FALSE,"+P4",4,74
41,"8cc",10,"M3/4","C:",5,"v1","8","cc",TRUE,"-M2",2,72
42,"8bJ)}",10,"M3/4","C:",5,"v7","8","b",TRUE,"-m2",2,71
43,"{8a",10,"M3/4","C:",6,"v6","8","a",TRUE,"-M2",2,69
44,"4.g",11,"M3/4","C:",6,"v5","4.","g",TRUE,"-M2",2,67
45,"8d",11,"M3/4","C:",6,"v2","8","d",TRUE,"-P4",4,62
46,"8.f",11,"M3/4","C:",6,"^4","8.","f",FALSE,"+m3",3,65
47,"16e",11,"M3/4","C:",6,"v3","16","e",TRUE,"-m2",2,64
48,"2c",12,"M3/4","C:",6,"v1","2","c",TRUE,"-M3",3,60
49,"8r}",12,"M3/4","C:",6,NA,"8",NA,FALSE,NA,NA,NA
