"id","summary","measure","metre","key","phrases","degree","duration","note_name","mint_direction","mint","interval","pitch"
1,"{4.a-",1,"M4/4","A-:",1,"^6-","4.","a-",TRUE,"[a-]",NA,68
2,"8b-",1,"M4/4","A-:",1,"^7-","8","b-",FALSE,"+M2",2,70
3,"4cc",1,"M4/4","A-:",1,"^1","4","cc",FALSE,"+M2",2,72
4,"4e-",1,"M4/4","A-:",1,"v3-","4","e-",TRUE,"-M6",6,63
5,"4.b-",2,"M4/4","A-:",1,"^7-","4.","b-",FALSE,"+P5",5,70
6,"8cc",2,"M4/4","A-:",1,"^1","8","cc",FALSE,"+M2",2,72
7,"4dd-",2,"M4/4","A-:",1,"^2-","4","dd-",FALSE,"+m2",2,73
8,"4r}",2,"M4/4","A-:",1,NA,"4",NA,FALSE,NA,NA,NA
9,"{4.cc",3,"M4/4","A-:",2,"v1","4.","cc",FALSE,"[cc]",NA,72
10,"8dd-",3,"M4/4","A-:",2,"^2-","8","dd-",FALSE,"+m2",2,73
11,"(4ee-",3,"M4/4","A-:",2,"^3-","4","ee-",FALSE,"+M2",2,75
12,"8g)",3,"M4/4","A-:",2,"v5","8","g",TRUE,"-m6",6,67
13,"8a-",3,"M4/4","A-:",2,"^6-","8","a-",FALSE,"+m2",2,68
14,"4cc",4,"M4/4","A-:",2,"^1","4","cc",FALSE,"+M3",3,72
15,"4b-",4,"M4/4","A-:",2,"v7-","4","b-",TRUE,"-M2",2,70
16,"2r}",4,"M4/4","A-:",2,NA,"2",NA,FALSE,NA,NA,NA
17,"{4.a-",5,"M4/4","A-:",3,"v6-","4.","a-",TRUE,"[a-]",NA,68
18,"8b-",5,"M4/4","A-:",3,"^7-","8","b-",FALSE,"+M2",2,70
19,"4cc",5,"M4/4","A-:",3,"^1","4","cc",FALSE,"+M2",2,72
20,"4e-",5,"M4/4","A-:",3,"v3-","4","e-",TRUE,"-M6",6,63
21,"4.b-",6,"M4/4","A-:",3,"^7-","4.","b-",FALSE,"+P5",5,70
22,"8cc",6,"M4/4","A-:",3,"^1","8","cc",FALSE,"+M2",2,72
23,"4dd-",6,"M4/4","A-:",3,"^2-","4","dd-",FALSE,"+m2",2,73
24,"4r}",6,"M4/4","A-:",3,NA,"4",NA,FALSE,NA,NA,NA
25,"{4.cc",7,"M4/4","A-:",4,"v1","4.","cc",FALSE,"[cc]",NA,72
26,"8ddn",7,"M4/4","A-:",4,"^2","8","dd",FALSE,"+M2",2,74
27,"4ee-",7,"M4/4","A-:",4,"^3-","4","ee-",FALSE,"+m2",2,75
28,"4ff",7,"M4/4","A-:",4,"^4","4","ff",FALSE,"+M2",2,77
29,"(4.ee-",8,"M4/4","A-:",4,"v3-","4.","ee-",TRUE,"-M2",2,75
30,"8ddn)",8,"M4/4","A-:",4,"v2","8","dd",TRUE,"-m2",2,74
31,"4ee-",8,"M4/4","A-:",4,"^3-","4","ee-",FALSE,"+m2",2,75
32,"4r}",8,"M4/4","A-:",4,NA,"4",NA,FALSE,NA,NA,NA
33,"{8ff",9,"M4/4","A-:",5,"^4","8","ff",FALSE,"[ff]",NA,77
34,"8ee-",9,"M4/4","A-:",5,"v3-","8","ee-",TRUE,"-M2",2,75
35,"8dd-X",9,"M4/4","A-:",5,"v2-","8","dd-",TRUE,"-M2",2,73
36,"8cc",9,"M4/4","A-:",5,"v1","8","cc",TRUE,"-m2",2,72
37,"4b-",9,"M4/4","A-:",5,"v7-","4","b-",TRUE,"-M2",2,70
38,"4e-",9,"M4/4","A-:",5,"v3-","4","e-",TRUE,"-P5",5,63
39,"2cc}",10,"M4/4","A-:",5,"^1","2","cc",FALSE,"+M6",6,72
40,"{8ee-",10,"M4/4","A-:",6,"^3-","8","ee-",FALSE,"+m3",3,75
41,"8dd-",10,"M4/4","A-:",6,"v2-","8","dd-",TRUE,"-M2",2,73
42,"8cc",10,"M4/4","A-:",6,"v1","8","cc",TRUE,"-m2",2,72
43,"8b-",10,"M4/4","A-:",6,"v7-","8","b-",TRUE,"-M2",2,70
44,"(4.a-",11,"M4/4","A-:",6,"v6-","4.","a-",TRUE,"-M2",2,68
45,"8b-",11,"M4/4","A-:",6,"^7-","8","b-",FALSE,"+M2",2,70
46,"4cc)",11,"M4/4","A-:",6,"^1","4","cc",FALSE,"+M2",2,72
47,"4b-",11,"M4/4","A-:",6,"v7-","4","b-",TRUE,"-M2",2,70
48,"2a-",12,"M4/4","A-:",6,"v6-","2","a-",TRUE,"-M2",2,68
49,"2r}",12,"M4/4","A-:",6,NA,"2",NA,FALSE,NA,NA,NA
