"id","summary","measure","metre","key","phrases","degree","duration","note_name","mint_direction","mint","interval","pitch"
1,"{8f",0,"M6/8","F:",1,"^4","8","f",FALSE,"[f]",NA,65
2,"4f",1,"M6/8","F:",1,"4","4","f",FALSE,"P1",1,65
3,"8f",1,"M6/8","F:",1,"4","8","f",FALSE,"P1",1,65
4,"4f",1,"M6/8","F:",1,"4","4","f",FALSE,"P1",1,65
5,"8f",1,"M6/8","F:",1,"4","8","f",FALSE,"P1",1,65
6,"8f",2,"M6/8","F:",1,"4","8","f",FALSE,"P1",1,65
7,"8e}",2,"M6/8","F:",1,"v3","8","e",TRUE,"-m2",2,64
8,"{8f",2,"M6/8","F:",2,"^4","8","f",FALSE,"+m2",2,65
9,"4g",2,"M6/8","F:",2,"^5","4","g",FALSE,"+M2",2,67
10,"8g",2,"M6/8","F:",2,"5","8","g",FALSE,"P1",1,67
11,"[>4.g",3,"M6/8","F:",2,"5","4.","g",FALSE,"P1",1,67
12,"8gL]",3,"M6/8","F:",2,"5","8","g",FALSE,"P1",1,67
13,"8fJ",3,"M6/8","F:",2,"v4","8","f",TRUE,"-M2",2,65
14,"8g",3,"M6/8","F:",2,"^5","8","g",FALSE,"+M2",2,67
15,"[>4.a",4,"M6/8","F:",2,"^6","4.","a",FALSE,"+M2",2,69
16,"8a]",4,"M6/8","F:",2,"6","8","a",FALSE,"P1",1,69
17,"8r}",4,"M6/8","F:",2,NA,"8",NA,FALSE,NA,NA,NA
18,"{8f",4,"M6/8","F:",3,"v4","8","f",FALSE,"[f]",NA,65
19,"4f",5,"M6/8","F:",3,"4","4","f",FALSE,"P1",1,65
20,"8f",5,"M6/8","F:",3,"4","8","f",FALSE,"P1",1,65
21,"4f",5,"M6/8","F:",3,"4","4","f",FALSE,"P1",1,65
22,"8f",5,"M6/8","F:",3,"4","8","f",FALSE,"P1",1,65
23,"4.a",6,"M6/8","F:",3,"^6","4.","a",FALSE,"+M3",3,69
24,"4g}",6,"M6/8","F:",3,"v5","4","g",TRUE,"-M2",2,67
25,"{8g",6,"M6/8","F:",4,"5","8","g",FALSE,"P1",1,67
26,"4f",7,"M6/8","F:",4,"v4","4","f",TRUE,"-M2",2,65
27,"8f",7,"M6/8","F:",4,"4","8","f",FALSE,"P1",1,65
28,"8eL",7,"M6/8","F:",4,"v3","8","e",TRUE,"-m2",2,64
29,"8dJ",7,"M6/8","F:",4,"v2","8","d",TRUE,"-M2",2,62
30,"8e",7,"M6/8","F:",4,"^3","8","e",FALSE,"+M2",2,64
31,"[4.f",8,"M6/8","F:",4,"^4","4.","f",FALSE,"+m2",2,65
32,"8f)",8,"M6/8","F:",4,"4","8","f",FALSE,"P1",1,65
33,"8r;}",8,"M6/8","F:",4,NA,"8",NA,FALSE,NA,NA,NA
