"id","summary","measure","metre","key","phrases","degree","duration","note_name","mint_direction","mint","interval","pitch"
1,"{8ee",0,"M2/4","A:",1,"^^3","8","ee",FALSE,"[ee]",NA,76
2,"8ee",1,"M2/4","A:",1,"3","8","ee",FALSE,"P1",1,76
3,"8ff#",1,"M2/4","A:",1,"^4+","8","ff#",FALSE,"+M2",2,78
4,"8dd",1,"M2/4","A:",1,"v2","8","dd",TRUE,"-M3",3,74
5,"8ee",1,"M2/4","A:",1,"^3","8","ee",FALSE,"+M2",2,76
6,"8cc#",2,"M2/4","A:",1,"v1+","8","cc#",TRUE,"-m3",3,73
7,"8dd",2,"M2/4","A:",1,"^2","8","dd",FALSE,"+m2",2,74
8,"8b}",2,"M2/4","A:",1,"v7","8","b",TRUE,"-m3",3,71
9,"{8cc#",2,"M2/4","A:",2,"^1+","8","cc#",FALSE,"+M2",2,73
10,"8a",3,"M2/4","A:",2,"v6","8","a",TRUE,"-M3",3,69
11,"8a",3,"M2/4","A:",2,"6","8","a",FALSE,"P1",1,69
12,"8b/",3,"M2/4","A:",2,"^7","8","b",FALSE,"+M2",2,71
13,"8b/",3,"M2/4","A:",2,"7","8","b",FALSE,"P1",1,71
14,"4e",4,"M2/4","A:",2,"v3","4","e",TRUE,"-P5",5,64
15,"8r}",4,"M2/4","A:",2,NA,"8",NA,FALSE,NA,NA,NA
16,"{8e",4,"M2/4","A:",3,"3","8","e",FALSE,"[e]",NA,64
17,"8f#",5,"M2/4","A:",3,"^4+","8","f#",FALSE,"+M2",2,66
18,"8g#",5,"M2/4","A:",3,"^5+","8","g#",FALSE,"+M2",2,68
19,"8a",5,"M2/4","A:",3,"^6","8","a",FALSE,"+m2",2,69
20,"8b/",5,"M2/4","A:",3,"^7","8","b",FALSE,"+M2",2,71
21,"8cc#",6,"M2/4","A:",3,"^1+","8","cc#",FALSE,"+M2",2,73
22,"8dd",6,"M2/4","A:",3,"^2","8","dd",FALSE,"+m2",2,74
23,"8ee}",6,"M2/4","A:",3,"^3","8","ee",FALSE,"+M2",2,76
24,"{8ee",6,"M2/4","A:",4,"3","8","ee",FALSE,"P1",1,76
25,"8dd#",7,"M2/4","A:",4,"v2+","8","dd#",TRUE,"-m2",2,75
26,"8ff#",7,"M2/4","A:",4,"^4+","8","ff#",FALSE,"+m3",3,78
27,"8b",7,"M2/4","A:",4,"v7","8","b",TRUE,"-P5",5,71
28,"8dd#",7,"M2/4","A:",4,"^2+","8","dd#",FALSE,"+M3",3,75
29,"4ee",8,"M2/4","A:",4,"^3","4","ee",FALSE,"+m2",2,76
30,"8r}",8,"M2/4","A:",4,NA,"8",NA,FALSE,NA,NA,NA
31,"{8e",8,"M2/4","A:",5,"v3","8","e",FALSE,"[e]",NA,64
32,"(8aqq",9,"M2/4","A:",5,"^6","1%0","a",FALSE,"+P4",4,69
33,"8g#)",9,"M2/4","A:",5,"v5+","8","g#",TRUE,"-m2",2,68
34,"8g#",9,"M2/4","A:",5,"5+","8","g#",FALSE,"P1",1,68
35,"8r",9,"M2/4","A:",5,NA,"8",NA,FALSE,NA,NA,NA
36,"8g#",9,"M2/4","A:",5,"5+","8","g#",FALSE,"[g#]",NA,68
37,"(8cc#qq",10,"M2/4","A:",5,"^1+","1%0","cc#",FALSE,"+P4",4,73
38,"8b)",10,"M2/4","A:",5,"v7","8","b",TRUE,"-M2",2,71
39,"8b",10,"M2/4","A:",5,"7","8","b",FALSE,"P1",1,71
40,"8r;",10,"M2/4","A:",5,NA,"8",NA,FALSE,NA,NA,NA
41,"8b",10,"M2/4","A:",5,"7","8","b",FALSE,"[b]",NA,71
42,"(8eeqq",11,"M2/4","A:",5,"^3","1%0","ee",FALSE,"+P4",4,76
43,"8dd)",11,"M2/4","A:",5,"v2","8","dd",TRUE,"-M2",2,74
44,"8dd",11,"M2/4","A:",5,"2","8","dd",FALSE,"P1",1,74
45,"8r;}",11,"M2/4","A:",5,NA,"8",NA,FALSE,NA,NA,NA
46,"{8ee",11,"M2/4","A:",6,"^3","8","ee",FALSE,"[ee]",NA,76
47,"4cc#",12,"M2/4","A:",6,"v1+","4","cc#",TRUE,"-m3",3,73
48,"4b",12,"M2/4","A:",6,"v7","4","b",TRUE,"-M2",2,71
49,"4a",13,"M2/4","A:",6,"v6","4","a",TRUE,"-M2",2,69
50,"4r",13,"M2/4","A:",6,NA,"4",NA,FALSE,NA,NA,NA
51,"4ff#",14,"M2/4","A:",6,"^4+","4","ff#",FALSE,"[ff#]",NA,78
52,"8ee",14,"M2/4","A:",6,"v3","8","ee",TRUE,"-M2",2,76
53,"8g#",14,"M2/4","A:",6,"v5+","8","g#",TRUE,"-m6",6,68
54,"4a",15,"M2/4","A:",6,"^6","4","a",FALSE,"+m2",2,69
55,"8r}",15,"M2/4","A:",6,NA,"8",NA,FALSE,NA,NA,NA
