"id","summary","measure","metre","key","phrases","degree","duration","note_name","mint_direction","mint","interval","pitch"
1,"{16eL",0,"M2/4","A:",1,"^3","16","e",FALSE,"[e]",NA,64
2,"16dJ",0,"M2/4","A:",1,"v2","16","d",TRUE,"-M2",2,62
3,"8c#",1,"M2/4","A:",1,"v1+","8","c#",TRUE,"-m2",2,61
4,"8e",1,"M2/4","A:",1,"^3","8","e",FALSE,"+m3",3,64
5,"8e",1,"M2/4","A:",1,"^3","8","e",FALSE,"P1",1,64
6,"16f#L",1,"M2/4","A:",1,"^4+","16","f#",FALSE,"+M2",2,66
7,"16g#J",1,"M2/4","A:",1,"^5+","16","g#",FALSE,"+M2",2,68
8,"8.a",2,"M2/4","A:",1,"^6","8.","a",FALSE,"+m2",2,69
9,"16b/",2,"M2/4","A:",1,"^7","16","b",FALSE,"+M2",2,71
10,"8a}",2,"M2/4","A:",1,"^6","8","a",TRUE,"-M2",2,69
11,"{8g#",2,"M2/4","A:",2,"^5+","8","g#",TRUE,"-m2",2,68
12,"8.f#",3,"M2/4","A:",2,"^4+","8.","f#",TRUE,"-M2",2,66
13,"16e",3,"M2/4","A:",2,"^3","16","e",TRUE,"-M2",2,64
14,"8f#",3,"M2/4","A:",2,"^4+","8","f#",FALSE,"+M2",2,66
15,"8a",3,"M2/4","A:",2,"^6","8","a",FALSE,"+m3",3,69
16,"8.b/",4,"M2/4","A:",2,"^7","8.","b",FALSE,"+M2",2,71
17,"16cc#/",4,"M2/4","A:",2,"^1+","16","cc#",FALSE,"+M2",2,73
18,"8b/}",4,"M2/4","A:",2,"^7","8","b",TRUE,"-M2",2,71
19,"{16eL",4,"M2/4","A:",3,"^3","16","e",TRUE,"-P5",5,64
20,"16dJ",4,"M2/4","A:",3,"v2","16","d",TRUE,"-M2",2,62
21,"8c#",5,"M2/4","A:",3,"v1+","8","c#",TRUE,"-m2",2,61
22,"8e",5,"M2/4","A:",3,"^3","8","e",FALSE,"+m3",3,64
23,"8e",5,"M2/4","A:",3,"^3","8","e",FALSE,"P1",1,64
24,"16f#",5,"M2/4","A:",3,"^4+","16","f#",FALSE,"+M2",2,66
25,"16g#",5,"M2/4","A:",3,"^5+","16","g#",FALSE,"+M2",2,68
26,"8.a",6,"M2/4","A:",3,"^6","8.","a",FALSE,"+m2",2,69
27,"16b/",6,"M2/4","A:",3,"^7","16","b",FALSE,"+M2",2,71
28,"8cc#}",6,"M2/4","A:",3,"^1+","8","cc#",FALSE,"+M2",2,73
29,"{8b",6,"M2/4","A:",4,"^7","8","b",TRUE,"-M2",2,71
30,"8.a",7,"M2/4","A:",4,"^6","8.","a",TRUE,"-M2",2,69
31,"16f#",7,"M2/4","A:",4,"^4+","16","f#",TRUE,"-m3",3,66
32,"8e",7,"M2/4","A:",4,"^3","8","e",TRUE,"-M2",2,64
33,"8cc#/",7,"M2/4","A:",4,"^1+","8","cc#",FALSE,"+M6",6,73
34,"8cc#/^L",8,"M2/4","A:",4,"^1+","8","cc#",FALSE,"P1",1,73
35,"8bJ",8,"M2/4","A:",4,"^7","8","b",TRUE,"-M2",2,71
36,"8a}",8,"M2/4","A:",4,"^6","8","a",TRUE,"-M2",2,69
37,"{(16ee/L",8,"M2/4","A:",5,"^3","16","ee",FALSE,"+P5",5,76
38,"16ddJ)",8,"M2/4","A:",5,"v2","16","dd",TRUE,"-M2",2,74
39,"8cc#/'",9,"M2/4","A:",5,"^1+","8","cc#",TRUE,"-m2",2,73
40,"8ee/'",9,"M2/4","A:",5,"^3","8","ee",FALSE,"+m3",3,76
41,"8a'",9,"M2/4","A:",5,"^6","8","a",TRUE,"-P5",5,69
42,"8b/'",9,"M2/4","A:",5,"^7","8","b",FALSE,"+M2",2,71
43,"8.cc#/'",10,"M2/4","A:",5,"^1+","8.","cc#",FALSE,"+M2",2,73
44,"16dd/",10,"M2/4","A:",5,"v2","16","dd",FALSE,"+m2",2,74
45,"8ee/}",10,"M2/4","A:",5,"^3","8","ee",FALSE,"+M2",2,76
46,"{(16dd/L",10,"M2/4","A:",6,"v2","16","dd",TRUE,"-M2",2,74
47,"16cc#J)",10,"M2/4","A:",6,"^1+","16","cc#",TRUE,"-m2",2,73
48,"8.dd/",11,"M2/4","A:",6,"v2","8.","dd",FALSE,"+m2",2,74
49,"16cc#/",11,"M2/4","A:",6,"^1+","16","cc#",TRUE,"-m2",2,73
50,"8b/",11,"M2/4","A:",6,"^7","8","b",TRUE,"-M2",2,71
51,"8cc#/",11,"M2/4","A:",6,"^1+","8","cc#",FALSE,"+M2",2,73
52,"8.dd/",12,"M2/4","A:",6,"v2","8.","dd",FALSE,"+m2",2,74
53,"16ee/",12,"M2/4","A:",6,"^3","16","ee",FALSE,"+M2",2,76
54,"8ff#/}",12,"M2/4","A:",6,"^4+","8","ff#",FALSE,"+M2",2,78
55,"{16ee/L",12,"M2/4","A:",7,"^3","16","ee",TRUE,"-M2",2,76
56,"16ddJ",12,"M2/4","A:",7,"v2","16","dd",TRUE,"-M2",2,74
57,"8cc#/",13,"M2/4","A:",7,"^1+","8","cc#",TRUE,"-m2",2,73
58,"8ee/",13,"M2/4","A:",7,"^3","8","ee",FALSE,"+m3",3,76
59,"8b/",13,"M2/4","A:",7,"^7","8","b",TRUE,"-P4",4,71
60,"8cc#/",13,"M2/4","A:",7,"^1+","8","cc#",FALSE,"+M2",2,73
61,"8.a",14,"M2/4","A:",7,"^6","8.","a",TRUE,"-M3",3,69
62,"16b/",14,"M2/4","A:",7,"^7","16","b",FALSE,"+M2",2,71
63,"8cc#/}",14,"M2/4","A:",7,"^1+","8","cc#",FALSE,"+M2",2,73
64,"{8b/",14,"M2/4","A:",8,"^7","8","b",TRUE,"-M2",2,71
65,"8a",15,"M2/4","A:",8,"^6","8","a",TRUE,"-M2",2,69
66,"8f#",15,"M2/4","A:",8,"^4+","8","f#",TRUE,"-m3",3,66
67,"8e",15,"M2/4","A:",8,"^3","8","e",TRUE,"-M2",2,64
