"id","summary","measure","metre","key","phrases","degree","duration","note_name","mint_direction","mint","interval","pitch"
1,"{4a",0,"M4/4","D:",1,"^6","4","a",FALSE,"[a]",NA,69
2,"4.g",1,"M4/4","D:",1,"v5","4.","g",TRUE,"-M2",2,67
3,"8f#",1,"M4/4","D:",1,"v4+","8","f#",TRUE,"-m2",2,66
4,"4f#",1,"M4/4","D:",1,"4+","4","f#",FALSE,"P1",1,66
5,"4dd/",1,"M4/4","D:",1,"^2","4","dd",FALSE,"+m6",6,74
6,"4.cc#/",2,"M4/4","D:",1,"v1+","4.","cc#",TRUE,"-m2",2,73
7,"8b/",2,"M4/4","D:",1,"v7","8","b",TRUE,"-M2",2,71
8,"4b/}",2,"M4/4","D:",1,"7","4","b",FALSE,"P1",1,71
9,"{4b/",2,"M4/4","D:",2,"7","4","b",FALSE,"P1",1,71
10,"4e",3,"M4/4","D:",2,"v3","4","e",TRUE,"-P5",5,64
11,"4f#",3,"M4/4","D:",2,"^4+","4","f#",FALSE,"+M2",2,66
12,"4g",3,"M4/4","D:",2,"^5","4","g",FALSE,"+m2",2,67
13,"4b/",3,"M4/4","D:",2,"^7","4","b",FALSE,"+M3",3,71
14,"4.a",4,"M4/4","D:",2,"v6","4.","a",TRUE,"-M2",2,69
15,"8g",4,"M4/4","D:",2,"v5","8","g",TRUE,"-M2",2,67
16,"4f#}",4,"M4/4","D:",2,"v4+","4","f#",TRUE,"-m2",2,66
17,"{4a",4,"M4/4","D:",3,"^6","4","a",FALSE,"+m3",3,69
18,"(4.e",5,"M4/4","D:",3,"v3","4.","e",TRUE,"-P4",4,64
19,"8g)",5,"M4/4","D:",3,"^5","8","g",FALSE,"+m3",3,67
20,"4f#}",5,"M4/4","D:",3,"v4+","4","f#",TRUE,"-m2",2,66
21,"{4a",5,"M4/4","D:",4,"^6","4","a",FALSE,"+m3",3,69
22,"4dd/",6,"M4/4","D:",4,"^2","4","dd",FALSE,"+P4",4,74
23,"4cc#/",6,"M4/4","D:",4,"v1+","4","cc#",TRUE,"-m2",2,73
24,"4.b/",6,"M4/4","D:",4,"v7","4.","b",TRUE,"-M2",2,71
25,"8a/",6,"M4/4","D:",4,"v6","8","a",TRUE,"-M2",2,69
26,"4.a",7,"M4/4","D:",4,"6","4.","a",FALSE,"P1",1,69
27,"8g#",7,"M4/4","D:",4,"v5+","8","g#",TRUE,"-m2",2,68
28,"4g#}",7,"M4/4","D:",4,"5+","4","g#",FALSE,"P1",1,68
29,"{4d",7,"M4/4","D:",5,"v2","4","d",TRUE,"-A4",4,62
30,"4cc#/",8,"M4/4","D:",5,"^1+","4","cc#",FALSE,"+M7",7,73
31,"4b/",8,"M4/4","D:",5,"v7","4","b",TRUE,"-M2",2,71
32,"4.a/",8,"M4/4","D:",5,"v6","4.","a",TRUE,"-M2",2,69
33,"8g",8,"M4/4","D:",5,"v5","8","g",TRUE,"-M2",2,67
34,"4.g#",9,"M4/4","D:",5,"5+","4.","g#",FALSE,"+A1",1,68
35,"8f#",9,"M4/4","D:",5,"v4+","8","f#",TRUE,"-M2",2,66
36,"4f#}",9,"M4/4","D:",5,"4+","4","f#",FALSE,"P1",1,66
37,"{4a",9,"M4/4","D:",6,"^6","4","a",FALSE,"+m3",3,69
38,"(4.e",10,"M4/4","D:",6,"v3","4.","e",TRUE,"-P4",4,64
39,"8g)",10,"M4/4","D:",6,"^5","8","g",FALSE,"+m3",3,67
40,"4f#",10,"M4/4","D:",6,"v4+","4","f#",TRUE,"-m2",2,66
41,"4a",10,"M4/4","D:",6,"^6","4","a",FALSE,"+m3",3,69
42,"(2.e",11,"M4/4","D:",6,"v3","2.","e",TRUE,"-P4",4,64
43,"4g)",11,"M4/4","D:",6,"^5","4","g",FALSE,"+m3",3,67
44,"2.f#;}",12,"M4/4","D:",6,"v4+","2.","f#",TRUE,"-m2",2,66
