"id","summary","measure","metre","key","phrases","degree","duration","note_name","mint_direction","mint","interval","pitch"
1,"{8cc",0,"M3/8","F:",1,"^1","8","cc",FALSE,"[cc]",NA,72
2,"8cc",1,"M3/8","F:",1,"1","8","cc",FALSE,"P1",1,72
3,"8a",1,"M3/8","F:",1,"v6","8","a",TRUE,"-m3",3,69
4,"8cc",1,"M3/8","F:",1,"^1","8","cc",FALSE,"+m3",3,72
5,"8cc",2,"M3/8","F:",1,"1","8","cc",FALSE,"P1",1,72
6,"8a",2,"M3/8","F:",1,"v6","8","a",TRUE,"-m3",3,69
7,"8cc",2,"M3/8","F:",1,"^1","8","cc",FALSE,"+m3",3,72
8,"8dd",3,"M3/8","F:",1,"^2","8","dd",FALSE,"+M2",2,74
9,"8dd",3,"M3/8","F:",1,"2","8","dd",FALSE,"P1",1,74
10,"16ffL",3,"M3/8","F:",1,"^4","16","ff",FALSE,"+m3",3,77
11,"16ddJ",3,"M3/8","F:",1,"v2","16","dd",TRUE,"-m3",3,74
12,"4cc}",4,"M3/8","F:",1,"v1","4","cc",TRUE,"-M2",2,72
13,"{8a",4,"M3/8","F:",2,"v6","8","a",TRUE,"-m3",3,69
14,"8b-/",5,"M3/8","F:",2,"^7-","8","b-",FALSE,"+m2",2,70
15,"8b-/",5,"M3/8","F:",2,"7-","8","b-",FALSE,"P1",1,70
16,"8b-/",5,"M3/8","F:",2,"7-","8","b-",FALSE,"P1",1,70
17,"8a",6,"M3/8","F:",2,"v6","8","a",TRUE,"-m2",2,69
18,"8b-/",6,"M3/8","F:",2,"^7-","8","b-",FALSE,"+m2",2,70
19,"8cc",6,"M3/8","F:",2,"^1","8","cc",FALSE,"+M2",2,72
20,"8cc",7,"M3/8","F:",2,"1","8","cc",FALSE,"P1",1,72
21,"8b-/",7,"M3/8","F:",2,"v7-","8","b-",TRUE,"-M2",2,70
22,"8a",7,"M3/8","F:",2,"v6","8","a",TRUE,"-m2",2,69
23,"4g}",8,"M3/8","F:",2,"v5","4","g",TRUE,"-M2",2,67
24,"{8g",8,"M3/8","F:",3,"5","8","g",FALSE,"P1",1,67
25,"8g",9,"M3/8","F:",3,"5","8","g",FALSE,"P1",1,67
26,"8e",9,"M3/8","F:",3,"v3","8","e",TRUE,"-m3",3,64
27,"8g",9,"M3/8","F:",3,"^5","8","g",FALSE,"+m3",3,67
28,"8a",10,"M3/8","F:",3,"^6","8","a",FALSE,"+M2",2,69
29,"8a",10,"M3/8","F:",3,"6","8","a",FALSE,"P1",1,69
30,"8a",10,"M3/8","F:",3,"6","8","a",FALSE,"P1",1,69
31,"8b-/",11,"M3/8","F:",3,"^7-","8","b-",FALSE,"+m2",2,70
32,"8a",11,"M3/8","F:",3,"v6","8","a",TRUE,"-m2",2,69
33,"8g",11,"M3/8","F:",3,"v5","8","g",TRUE,"-M2",2,67
34,"4cc}",12,"M3/8","F:",3,"^1","4","cc",FALSE,"+P4",4,72
35,"{8cc",12,"M3/8","F:",4,"1","8","cc",FALSE,"P1",1,72
36,"8dd",13,"M3/8","F:",4,"^2","8","dd",FALSE,"+M2",2,74
37,"16ddL",13,"M3/8","F:",4,"2","16","dd",FALSE,"P1",1,74
38,"16eeJ",13,"M3/8","F:",4,"^3","16","ee",FALSE,"+M2",2,76
39,"16ffL",13,"M3/8","F:",4,"^4","16","ff",FALSE,"+m2",2,77
40,"16ddJ",13,"M3/8","F:",4,"v2","16","dd",TRUE,"-m3",3,74
41,"8cc",14,"M3/8","F:",4,"v1","8","cc",TRUE,"-M2",2,72
42,"8a",14,"M3/8","F:",4,"v6","8","a",TRUE,"-m3",3,69
43,"8cc",14,"M3/8","F:",4,"^1","8","cc",FALSE,"+m3",3,72
44,"8b-/",15,"M3/8","F:",4,"v7-","8","b-",TRUE,"-M2",2,70
45,"8g",15,"M3/8","F:",4,"v5","8","g",TRUE,"-m3",3,67
46,"8e",15,"M3/8","F:",4,"v3","8","e",TRUE,"-m3",3,64
47,"4f}",16,"M3/8","F:",4,"^4","4","f",FALSE,"+m2",2,65
