"id","summary","measure","metre","key","phrases","degree","duration","note_name","mint_direction","mint","interval","pitch"
1,"{8e",0,"M6/8","C:",1,"^3","8","e",FALSE,"[e]",NA,64
2,"4e",1,"M6/8","C:",1,"3","4","e",FALSE,"P1",1,64
3,"8g",1,"M6/8","C:",1,"^5","8","g",FALSE,"+m3",3,67
4,"4g",1,"M6/8","C:",1,"5","4","g",FALSE,"P1",1,67
5,"8cc/",1,"M6/8","C:",1,"^1","8","cc",FALSE,"+P4",4,72
6,"4.cc/",2,"M6/8","C:",1,"1","4.","cc",FALSE,"P1",1,72
7,"4g}",2,"M6/8","C:",1,"v5","4","g",TRUE,"-P4",4,67
8,"{8g",2,"M6/8","C:",2,"5","8","g",FALSE,"P1",1,67
9,"8.aL",3,"M6/8","C:",2,"^6","8.","a",FALSE,"+M2",2,69
10,"16gJ",3,"M6/8","C:",2,"v5","16","g",TRUE,"-M2",2,67
11,"8cc/",3,"M6/8","C:",2,"^1","8","cc",FALSE,"+P4",4,72
12,"4cc/",3,"M6/8","C:",2,"1","4","cc",FALSE,"P1",1,72
13,"8a",3,"M6/8","C:",2,"v6","8","a",TRUE,"-m3",3,69
14,"[4.g",4,"M6/8","C:",2,"v5","4.","g",TRUE,"-M2",2,67
15,"8g]",4,"M6/8","C:",2,"5","8","g",FALSE,"P1",1,67
16,"8r}",4,"M6/8","C:",2,NA,"8",NA,FALSE,NA,NA,NA
17,"{8g",4,"M6/8","C:",3,"5","8","g",FALSE,"[g]",NA,67
18,"4g",5,"M6/8","C:",3,"5","4","g",FALSE,"P1",1,67
19,"8b/",5,"M6/8","C:",3,"^7","8","b",FALSE,"+M3",3,71
20,"4b/",5,"M6/8","C:",3,"7","4","b",FALSE,"P1",1,71
21,"8dd/",5,"M6/8","C:",3,"^2","8","dd",FALSE,"+m3",3,74
22,"4.ff",6,"M6/8","C:",3,"^4","4.","ff",FALSE,"+m3",3,77
23,"4dd}",6,"M6/8","C:",3,"v2","4","dd",TRUE,"-m3",3,74
24,"{8dd",6,"M6/8","C:",4,"2","8","dd",FALSE,"P1",1,74
25,"4ee",7,"M6/8","C:",4,"^3","4","ee",FALSE,"+M2",2,76
26,"8ee",7,"M6/8","C:",4,"3","8","ee",FALSE,"P1",1,76
27,"8dd/L",7,"M6/8","C:",4,"v2","8","dd",TRUE,"-M2",2,74
28,"8eeJ",7,"M6/8","C:",4,"^3","8","ee",FALSE,"+M2",2,76
29,"8dd/",7,"M6/8","C:",4,"v2","8","dd",TRUE,"-M2",2,74
30,"[4.cc",8,"M6/8","C:",4,"v1","4.","cc",TRUE,"-M2",2,72
31,"8cc]",8,"M6/8","C:",4,"1","8","cc",FALSE,"P1",1,72
32,"8r}",8,"M6/8","C:",4,NA,"8",NA,FALSE,NA,NA,NA
