"id","summary","measure","metre","key","phrases","degree","duration","note_name","mint_direction","mint","interval","pitch"
1,"{4cc",1,"M2/4","C:",1,"^1","4","cc",FALSE,"[cc]",NA,72
2,"4b",1,"M2/4","C:",1,"v7","4","b",TRUE,"-m2",2,71
3,"8cc/",2,"M2/4","C:",1,"^1","8","cc",FALSE,"+m2",2,72
4,"8g",2,"M2/4","C:",1,"v5","8","g",TRUE,"-P4",4,67
5,"8e",2,"M2/4","C:",1,"v3","8","e",TRUE,"-m3",3,64
6,"8c",2,"M2/4","C:",1,"v1","8","c",TRUE,"-M3",3,60
7,"4cc/",3,"M2/4","C:",1,"^1","4","cc",FALSE,"+P8",8,72
8,"4b/",3,"M2/4","C:",1,"v7","4","b",TRUE,"-m2",2,71
9,"4.cc}",4,"M2/4","C:",1,"^1","4.","cc",FALSE,"+m2",2,72
10,"{8g",4,"M2/4","C:",2,"v5","8","g",TRUE,"-P4",4,67
11,"8a",5,"M2/4","C:",2,"^6","8","a",FALSE,"+M2",2,69
12,"8a",5,"M2/4","C:",2,"6","8","a",FALSE,"P1",1,69
13,"8a",5,"M2/4","C:",2,"6","8","a",FALSE,"P1",1,69
14,"8a",5,"M2/4","C:",2,"6","8","a",FALSE,"P1",1,69
15,"8g",6,"M2/4","C:",2,"v5","8","g",TRUE,"-M2",2,67
16,"8g",6,"M2/4","C:",2,"5","8","g",FALSE,"P1",1,67
17,"(>8cc/",6,"M2/4","C:",2,"^1","8","cc",FALSE,"+P4",4,72
18,"8ee/)",6,"M2/4","C:",2,"^3","8","ee",FALSE,"+M3",3,76
19,"4ff/",7,"M2/4","C:",2,"^4","4","ff",FALSE,"+m2",2,77
20,"8ee/",7,"M2/4","C:",2,"v3","8","ee",TRUE,"-m2",2,76
21,"8ee/",7,"M2/4","C:",2,"3","8","ee",FALSE,"P1",1,76
22,"4dd/",8,"M2/4","C:",2,"v2","4","dd",TRUE,"-M2",2,74
23,"8r}",8,"M2/4","C:",2,NA,"8",NA,FALSE,NA,NA,NA
24,"{8f",8,"M2/4","C:",3,"v4","8","f",FALSE,"[f]",NA,65
25,"4g",9,"M2/4","C:",3,"^5","4","g",FALSE,"+M2",2,67
26,"8g",9,"M2/4","C:",3,"5","8","g",FALSE,"P1",1,67
27,"8b-/",9,"M2/4","C:",3,"^7-","8","b-",FALSE,"+m3",3,70
28,"8a",10,"M2/4","C:",3,"v6","8","a",TRUE,"-m2",2,69
29,"8cc/",10,"M2/4","C:",3,"^1","8","cc",FALSE,"+m3",3,72
30,"4f}",10,"M2/4","C:",3,"v4","4","f",TRUE,"-P5",5,65
31,"{8a",11,"M2/4","C:",4,"^6","8","a",FALSE,"+M3",3,69
32,"8a",11,"M2/4","C:",4,"6","8","a",FALSE,"P1",1,69
33,"8a",11,"M2/4","C:",4,"6","8","a",FALSE,"P1",1,69
34,"8cc/",11,"M2/4","C:",4,"^1","8","cc",FALSE,"+m3",3,72
35,"8b/",12,"M2/4","C:",4,"v7","8","b",TRUE,"-m2",2,71
36,"8dd/",12,"M2/4","C:",4,"^2","8","dd",FALSE,"+m3",3,74
37,"8g}",12,"M2/4","C:",4,"v5","8","g",TRUE,"-P5",5,67
38,"{8g",12,"M2/4","C:",5,"5","8","g",FALSE,"P1",1,67
39,"4cc/",13,"M2/4","C:",5,"^1","4","cc",FALSE,"+P4",4,72
40,"8.ee/L",13,"M2/4","C:",5,"^3","8.","ee",FALSE,"+M3",3,76
41,"16ddJ",13,"M2/4","C:",5,"v2","16","dd",TRUE,"-M2",2,74
42,"8cc/",14,"M2/4","C:",5,"v1","8","cc",TRUE,"-M2",2,72
43,"8b/",14,"M2/4","C:",5,"v7","8","b",TRUE,"-m2",2,71
44,"8cc/",14,"M2/4","C:",5,"^1","8","cc",FALSE,"+m2",2,72
45,"8e",14,"M2/4","C:",5,"v3","8","e",TRUE,"-m6",6,64
46,"4f",15,"M2/4","C:",5,"^4","4","f",FALSE,"+m2",2,65
47,"4g",15,"M2/4","C:",5,"^5","4","g",FALSE,"+M2",2,67
48,"4c",16,"M2/4","C:",5,"v1","4","c",TRUE,"-P5",5,60
49,"4r}",16,"M2/4","C:",5,NA,"4",NA,FALSE,NA,NA,NA
