"id","summary","measure","metre","key","phrases","degree","duration","note_name","mint_direction","mint","interval","pitch"
1,"{4b-",0,"M4/4","E-:",1,"^7-","4","b-",TRUE,"[b-]",NA,70
2,"4ee-",1,"M4/4","E-:",1,"^3-","4","ee-",FALSE,"+P4",4,75
3,"4ee-",1,"M4/4","E-:",1,"3-","4","ee-",FALSE,"P1",1,75
4,"4ee-",1,"M4/4","E-:",1,"3-","4","ee-",FALSE,"P1",1,75
5,"8dd/",1,"M4/4","E-:",1,"v2","8","dd",TRUE,"-m2",2,74
6,"8cc/",1,"M4/4","E-:",1,"v1","8","cc",TRUE,"-M2",2,72
7,"4.b-/",2,"M4/4","E-:",1,"v7-","4.","b-",TRUE,"-M2",2,70
8,"8b-/",2,"M4/4","E-:",1,"7-","8","b-",FALSE,"P1",1,70
9,"4b-/",2,"M4/4","E-:",1,"7-","4","b-",FALSE,"P1",1,70
10,"8r}",2,"M4/4","E-:",1,NA,"8",NA,FALSE,NA,NA,NA
11,"{8b-/",2,"M4/4","E-:",2,"7-","8","b-",TRUE,"[b-]",NA,70
12,"4cc/",3,"M4/4","E-:",2,"^1","4","cc",FALSE,"+M2",2,72
13,"8dd/",3,"M4/4","E-:",2,"^2","8","dd",FALSE,"+M2",2,74
14,"8dd/",3,"M4/4","E-:",2,"2","8","dd",FALSE,"P1",1,74
15,"4ee-/",3,"M4/4","E-:",2,"^3-","4","ee-",FALSE,"+m2",2,75
16,"8g",3,"M4/4","E-:",2,"v5","8","g",TRUE,"-m6",6,67
17,"8g",3,"M4/4","E-:",2,"5","8","g",FALSE,"P1",1,67
18,"2b-/",4,"M4/4","E-:",2,"^7-","2","b-",FALSE,"+m3",3,70
19,"4g",4,"M4/4","E-:",2,"v5","4","g",TRUE,"-m3",3,67
20,"8r}",4,"M4/4","E-:",2,NA,"8",NA,FALSE,NA,NA,NA
21,"{8g",4,"M4/4","E-:",3,"5","8","g",FALSE,"[g]",NA,67
22,"4ee-",5,"M4/4","E-:",3,"^3-","4","ee-",FALSE,"+m6",6,75
23,"8ee-",5,"M4/4","E-:",3,"3-","8","ee-",FALSE,"P1",1,75
24,"8ee-",5,"M4/4","E-:",3,"3-","8","ee-",FALSE,"P1",1,75
25,"(4ee-",5,"M4/4","E-:",3,"3-","4","ee-",FALSE,"P1",1,75
26,"8dd/)",5,"M4/4","E-:",3,"v2","8","dd",TRUE,"-m2",2,74
27,"8cc/",5,"M4/4","E-:",3,"v1","8","cc",TRUE,"-M2",2,72
28,"4b/",6,"M4/4","E-:",3,"v7","4","b",TRUE,"-m2",2,71
29,"4b/",6,"M4/4","E-:",3,"7","4","b",FALSE,"P1",1,71
30,"4cc/",6,"M4/4","E-:",3,"^1","4","cc",FALSE,"+m2",2,72
31,"8r}",6,"M4/4","E-:",3,NA,"8",NA,FALSE,NA,NA,NA
32,"{8cc/",6,"M4/4","E-:",4,"1","8","cc",FALSE,"[cc]",NA,72
33,"4dd-/",7,"M4/4","E-:",4,"^2-","4","dd-",FALSE,"+m2",2,73
34,"4dd-/",7,"M4/4","E-:",4,"2-","4","dd-",FALSE,"P1",1,73
35,"8dd-qq",7,"M4/4","E-:",4,"2-","1%0","dd-",FALSE,"P1",1,73
36,"4cc/",7,"M4/4","E-:",4,"v1","4","cc",TRUE,"-m2",2,72
37,"8b-X/",7,"M4/4","E-:",4,"v7-","8","b-",TRUE,"-M2",2,70
38,"8a-",7,"M4/4","E-:",4,"v6-","8","a-",TRUE,"-M2",2,68
39,"(>4a-",8,"M4/4","E-:",4,"6-","4","a-",FALSE,"P1",1,68
40,"4b-/)",8,"M4/4","E-:",4,"^7-","4","b-",FALSE,"+M2",2,70
41,"4a-",8,"M4/4","E-:",4,"v6-","4","a-",TRUE,"-M2",2,68
42,"8r}",8,"M4/4","E-:",4,NA,"8",NA,FALSE,NA,NA,NA
43,"{8cc/",8,"M4/4","E-:",5,"^1","8","cc",FALSE,"[cc]",NA,72
44,"4cc/",9,"M4/4","E-:",5,"1","4","cc",FALSE,"P1",1,72
45,"8cc/",9,"M4/4","E-:",5,"1","8","cc",FALSE,"P1",1,72
46,"8cc/",9,"M4/4","E-:",5,"1","8","cc",FALSE,"P1",1,72
47,"4cc/",9,"M4/4","E-:",5,"1","4","cc",FALSE,"P1",1,72
48,"4f",9,"M4/4","E-:",5,"v4","4","f",TRUE,"-P5",5,65
49,"4.b-/",10,"M4/4","E-:",5,"^7-","4.","b-",FALSE,"+P4",4,70
50,"8a-/",10,"M4/4","E-:",5,"v6-","8","a-",TRUE,"-M2",2,68
51,"8g}",10,"M4/4","E-:",5,"v5","8","g",TRUE,"-m2",2,67
52,"{8e-",10,"M4/4","E-:",6,"v3-","8","e-",TRUE,"-M3",3,63
53,"8f",10,"M4/4","E-:",6,"^4","8","f",FALSE,"+M2",2,65
54,"8g",10,"M4/4","E-:",6,"^5","8","g",FALSE,"+M2",2,67
55,"4a-",11,"M4/4","E-:",6,"^6-","4","a-",FALSE,"+m2",2,68
56,"4b-/",11,"M4/4","E-:",6,"^7-","4","b-",FALSE,"+M2",2,70
57,"8cc/L",11,"M4/4","E-:",6,"^1","8","cc",FALSE,"+M2",2,72
58,"8ddJ",11,"M4/4","E-:",6,"^2","8","dd",FALSE,"+M2",2,74
59,"4ee-/",11,"M4/4","E-:",6,"^3-","4","ee-",FALSE,"+m2",2,75
60,"2ee-/",12,"M4/4","E-:",6,"3-","2","ee-",FALSE,"P1",1,75
61,"2dd/",12,"M4/4","E-:",6,"v2","2","dd",TRUE,"-m2",2,74
62,"2.ee-/}",13,"M4/4","E-:",6,"^3-","2.","ee-",FALSE,"+m2",2,75
