"id","summary","measure","metre","key","phrases","degree","duration","note_name","mint_direction","mint","interval","pitch"
1,"{8g",0,"M4/4","C:",1,"^5","8","g",FALSE,"[g]",NA,67
2,"4.cc",1,"M4/4","C:",1,"^1","4.","cc",FALSE,"+P4",4,72
3,"8c",1,"M4/4","C:",1,"v1","8","c",TRUE,"-P8",8,60
4,"8c",1,"M4/4","C:",1,"1","8","c",FALSE,"P1",1,60
5,"8c",1,"M4/4","C:",1,"1","8","c",FALSE,"P1",1,60
6,"8e",1,"M4/4","C:",1,"^3","8","e",FALSE,"+M3",3,64
7,"8c",1,"M4/4","C:",1,"v1","8","c",TRUE,"-M3",3,60
8,"2g",2,"M4/4","C:",1,"^5","2","g",FALSE,"+P5",5,67
9,"4r",2,"M4/4","C:",1,NA,"4",NA,FALSE,NA,NA,NA
10,"8r}",2,"M4/4","C:",1,NA,"8",NA,FALSE,NA,NA,NA
11,"{8g",2,"M4/4","C:",2,"5","8","g",FALSE,"[g]",NA,67
12,"4.dd",3,"M4/4","C:",2,"^2","4.","dd",FALSE,"+P5",5,74
13,"8cc",3,"M4/4","C:",2,"v1","8","cc",TRUE,"-M2",2,72
14,"8b",3,"M4/4","C:",2,"v7","8","b",TRUE,"-m2",2,71
15,"8a",3,"M4/4","C:",2,"v6","8","a",TRUE,"-M2",2,69
16,"8g",3,"M4/4","C:",2,"v5","8","g",TRUE,"-M2",2,67
17,"8f",3,"M4/4","C:",2,"v4","8","f",TRUE,"-M2",2,65
18,"2e",4,"M4/4","C:",2,"v3","2","e",TRUE,"-m2",2,64
19,"8r}",4,"M4/4","C:",2,NA,"8",NA,FALSE,NA,NA,NA
20,"{8g",4,"M4/4","C:",3,"^5","8","g",FALSE,"[g]",NA,67
21,"8a",4,"M4/4","C:",3,"^6","8","a",FALSE,"+M2",2,69
22,"8b/",4,"M4/4","C:",3,"^7","8","b",FALSE,"+M2",2,71
23,"4cc",5,"M4/4","C:",3,"^1","4","cc",FALSE,"+m2",2,72
24,"4g",5,"M4/4","C:",3,"v5","4","g",TRUE,"-P4",4,67
25,"4dd",5,"M4/4","C:",3,"^2","4","dd",FALSE,"+P5",5,74
26,"4g",5,"M4/4","C:",3,"v5","4","g",TRUE,"-P5",5,67
27,"2ee",6,"M4/4","C:",3,"^3","2","ee",FALSE,"+M6",6,76
28,"8r}",6,"M4/4","C:",3,NA,"8",NA,FALSE,NA,NA,NA
29,"{8dd",6,"M4/4","C:",4,"v2","8","dd",FALSE,"[dd]",NA,74
30,"8cc",6,"M4/4","C:",4,"v1","8","cc",TRUE,"-M2",2,72
31,"8b",6,"M4/4","C:",4,"v7","8","b",TRUE,"-m2",2,71
32,"4a",7,"M4/4","C:",4,"v6","4","a",TRUE,"-M2",2,69
33,"4dd",7,"M4/4","C:",4,"^2","4","dd",FALSE,"+P4",4,74
34,"4cc",7,"M4/4","C:",4,"v1","4","cc",TRUE,"-M2",2,72
35,"4b",7,"M4/4","C:",4,"v7","4","b",TRUE,"-m2",2,71
36,"2cc",8,"M4/4","C:",4,"^1","2","cc",FALSE,"+m2",2,72
37,"8r}",8,"M4/4","C:",4,NA,"8",NA,FALSE,NA,NA,NA
38,"{8g",8,"M4/4","C:",5,"v5","8","g",FALSE,"[g]",NA,67
39,"8a",8,"M4/4","C:",5,"^6","8","a",FALSE,"+M2",2,69
40,"8b/",8,"M4/4","C:",5,"^7","8","b",FALSE,"+M2",2,71
41,"4cc/",9,"M4/4","C:",5,"^1","4","cc",FALSE,"+m2",2,72
42,"4g",9,"M4/4","C:",5,"v5","4","g",TRUE,"-P4",4,67
43,"4dd/",9,"M4/4","C:",5,"^2","4","dd",FALSE,"+P5",5,74
44,"4g",9,"M4/4","C:",5,"v5","4","g",TRUE,"-P5",5,67
45,"2ee/",10,"M4/4","C:",5,"^3","2","ee",FALSE,"+M6",6,76
46,"8r}",10,"M4/4","C:",5,NA,"8",NA,FALSE,NA,NA,NA
47,"{8dd/",10,"M4/4","C:",6,"v2","8","dd",FALSE,"[dd]",NA,74
48,"8cc/",10,"M4/4","C:",6,"v1","8","cc",TRUE,"-M2",2,72
49,"8b/",10,"M4/4","C:",6,"v7","8","b",TRUE,"-m2",2,71
50,"4a",11,"M4/4","C:",6,"v6","4","a",TRUE,"-M2",2,69
51,"4dd/",11,"M4/4","C:",6,"^2","4","dd",FALSE,"+P4",4,74
52,"4cc/",11,"M4/4","C:",6,"v1","4","cc",TRUE,"-M2",2,72
53,"4b/",11,"M4/4","C:",6,"v7","4","b",TRUE,"-m2",2,71
54,"2cc/",12,"M4/4","C:",6,"^1","2","cc",FALSE,"+m2",2,72
55,"4r",12,"M4/4","C:",6,NA,"4",NA,FALSE,NA,NA,NA
56,"8r}",12,"M4/4","C:",6,NA,"8",NA,FALSE,NA,NA,NA
