"id","summary","measure","metre","key","phrases","degree","duration","note_name","mint_direction","mint","interval","pitch"
1,"{4.ee/",1,"M3/4","C:",1,"^^3","4.","ee",FALSE,"[ee]",NA,76
2,"8dd/",1,"M3/4","C:",1,"v2","8","dd",TRUE,"-M2",2,74
3,"(8ccL",1,"M3/4","C:",1,"v1","8","cc",TRUE,"-M2",2,72
4,"8eJ)",1,"M3/4","C:",1,"v3","8","e",TRUE,"-m6",6,64
5,"4a",2,"M3/4","C:",1,"^6","4","a",FALSE,"+P4",4,69
6,"(8gL",2,"M3/4","C:",1,"v5","8","g",TRUE,"-M2",2,67
7,"8fJ)",2,"M3/4","C:",1,"v4","8","f",TRUE,"-M2",2,65
8,"4d}",2,"M3/4","C:",1,"v2","4","d",TRUE,"-m3",3,62
9,"{4a",3,"M3/4","C:",2,"^6","4","a",FALSE,"+P5",5,69
10,"(8gL",3,"M3/4","C:",2,"v5","8","g",TRUE,"-M2",2,67
11,"8fJ)",3,"M3/4","C:",2,"v4","8","f",TRUE,"-M2",2,65
12,"4d",3,"M3/4","C:",2,"v2","4","d",TRUE,"-m3",3,62
13,"4a",4,"M3/4","C:",2,"^6","4","a",FALSE,"+P5",5,69
14,"(8gL",4,"M3/4","C:",2,"v5","8","g",TRUE,"-M2",2,67
15,"8eJ)",4,"M3/4","C:",2,"v3","8","e",TRUE,"-m3",3,64
16,"4c}",4,"M3/4","C:",2,"v1","4","c",TRUE,"-M3",3,60
17,"{4.ee/",5,"M3/4","C:",3,"^^3","4.","ee",FALSE,"+M10",10,76
18,"8dd/",5,"M3/4","C:",3,"v2","8","dd",TRUE,"-M2",2,74
19,"(8ccL",5,"M3/4","C:",3,"v1","8","cc",TRUE,"-M2",2,72
20,"8eJ)",5,"M3/4","C:",3,"v3","8","e",TRUE,"-m6",6,64
21,"4a",6,"M3/4","C:",3,"^6","4","a",FALSE,"+P4",4,69
22,"(8gL",6,"M3/4","C:",3,"v5","8","g",TRUE,"-M2",2,67
23,"8fJ)",6,"M3/4","C:",3,"v4","8","f",TRUE,"-M2",2,65
24,"4d}",6,"M3/4","C:",3,"v2","4","d",TRUE,"-m3",3,62
25,"{4g",7,"M3/4","C:",4,"^5","4","g",FALSE,"+P4",4,67
26,"4a",7,"M3/4","C:",4,"^6","4","a",FALSE,"+M2",2,69
27,"4b/",7,"M3/4","C:",4,"^7","4","b",FALSE,"+M2",2,71
28,"2cc/",8,"M3/4","C:",4,"^1","2","cc",FALSE,"+m2",2,72
29,"4r}",8,"M3/4","C:",4,NA,"4",NA,FALSE,NA,NA,NA
30,"{8ff'/",9,"M3/4","C:",5,"^4","8","ff",FALSE,"[ff]",NA,77
31,"8ee'/",9,"M3/4","C:",5,"v3","8","ee",TRUE,"-m2",2,76
32,"2dd/^",9,"M3/4","C:",5,"v2","2","dd",TRUE,"-M2",2,74
33,"8ee'/",10,"M3/4","C:",5,"^3","8","ee",FALSE,"+M2",2,76
34,"8dd'/",10,"M3/4","C:",5,"v2","8","dd",TRUE,"-M2",2,74
35,"2cc/^}",10,"M3/4","C:",5,"v1","2","cc",TRUE,"-M2",2,72
36,"{4g",11,"M3/4","C:",6,"v5","4","g",TRUE,"-P4",4,67
37,"4a",11,"M3/4","C:",6,"^6","4","a",FALSE,"+M2",2,69
38,"4b/",11,"M3/4","C:",6,"^7","4","b",FALSE,"+M2",2,71
39,"16ddq",12,"M3/4","C:",6,"^2","1%0","dd",FALSE,"+m3",3,74
40,"8cc/",12,"M3/4","C:",6,"v1","8","cc",TRUE,"-M2",2,72
41,"8b/",12,"M3/4","C:",6,"v7","8","b",TRUE,"-m2",2,71
42,"8cc/",12,"M3/4","C:",6,"^1","8","cc",FALSE,"+m2",2,72
43,"8dd/",12,"M3/4","C:",6,"^2","8","dd",FALSE,"+M2",2,74
44,"4ee/}",12,"M3/4","C:",6,"^3","4","ee",FALSE,"+M2",2,76
45,"{8ff'/",13,"M3/4","C:",7,"^4","8","ff",FALSE,"+m2",2,77
46,"8ee'/",13,"M3/4","C:",7,"v3","8","ee",TRUE,"-m2",2,76
47,"2dd/^",13,"M3/4","C:",7,"v2","2","dd",TRUE,"-M2",2,74
48,"8ee'/",14,"M3/4","C:",7,"^3","8","ee",FALSE,"+M2",2,76
49,"8dd'/",14,"M3/4","C:",7,"v2","8","dd",TRUE,"-M2",2,74
50,"2cc/^}",14,"M3/4","C:",7,"v1","2","cc",TRUE,"-M2",2,72
51,"{4g^^",15,"M3/4","C:",8,"v5","4","g",TRUE,"-P4",4,67
52,"4a^^",15,"M3/4","C:",8,"^6","4","a",FALSE,"+M2",2,69
53,"4b/^^",15,"M3/4","C:",8,"^7","4","b",FALSE,"+M2",2,71
54,"2cc/",16,"M3/4","C:",8,"^1","2","cc",FALSE,"+m2",2,72
55,"4r}",16,"M3/4","C:",8,NA,"4",NA,FALSE,NA,NA,NA
